domain_id,domain_name,hierarchy,xfold
000143792,e3s8iA1,1.1.1.3,1
000000000,e2nmzA1,1.1.1.4,1
000000002,e4fivA1,1.1.1.4,1
000000003,e2rspA1,1.1.1.4,1
000000004,e2fmbA1,1.1.1.4,1
000000005,e1nsoA1,1.1.1.4,1
001171828,e4exhB2,1.1.1.4,1
001391176,e3doxA1,1.1.1.4,1
001401574,e3wsjA1,1.1.1.4,1
000198976,e2jysA1,1.1.1.5,1
002765407,e7o0hB4,1.1.1.5,1
001107977,e1t6eX1,1.1.1.6,1
001698601,e3aupA1,1.1.1.6,1
001088772,e1t6eX3,1.1.1.8,1
001698602,e3aupA2,1.1.1.8,1
000000017,e2pmaA1,1.1.1.11,1
001697187,e5c9fD1,1.1.1.16,1
000000267,e1udzA1,1.1.1.28,1
000000268,e1ffyA1,1.1.1.28,1
002321120,e4aq7A2,1.1.1.28,1
002697215,e6ldkA2,1.1.1.28,1
001088770,e1smrA3,1.1.1.30,1
000020633,e1b5f.1,1.1.1.30,1
001248906,e4aucA2,1.1.1.30,1
002125379,e5nfgA2,1.1.1.30,1
001694961,e4rldA1,1.1.1.30,1
001088774,e1wkrA3,1.1.1.30,1
001088780,e2bjuA3,1.1.1.30,1
001568677,e4zl4A2,1.1.1.30,1
000000270,e1h3nA1,1.1.1.31,1
001510628,e3pz6A1,1.1.1.31,1
001564250,e5aghA1,1.1.1.31,1
001564252,e5agjA1,1.1.1.31,1
001843725,e5fodA1,1.1.1.31,1
001870482,e5fogA1,1.1.1.31,1
000000269,e1wkaA1,1.1.1.31,1
002337291,e1wz2A3,1.1.1.31,1
002486442,e5ah5A7,1.1.1.31,1
001144169,e3vcm.1,1.1.1.37,1
001070006,e4ehcA1,1.1.1.40,1
000185495,e3qvcA1,1.1.1.43,1
001323411,e4obz.1,1.1.1.43,1
001322884,e4oc6B1,1.1.1.43,1
001088760,e1dpjA3,1.1.1.45,1
001088761,e1j71A2,1.1.1.45,1
001088764,e1mppA2,1.1.1.45,1
001088768,e1oewA3,1.1.1.45,1
001568670,e2aprA3,1.1.1.45,1
001088781,e2qp8A2,1.1.1.45,1
002599549,e6rowE1,1.1.1.45,1
002863428,e7tbdB1,1.1.1.45,1
000000011,e1htr.1,1.1.1.46,1
001088759,e1dpjA2,1.1.1.46,1
001088763,e1mppA1,1.1.1.46,1
001088769,e1smrA2,1.1.1.46,1
001088779,e2bjuA2,1.1.1.46,1
000020623,e1uh9A1,1.1.1.46,1
001546151,e4oc6A1,1.1.1.46,1
001568668,e1j71A1,1.1.1.46,1
001568669,e2aprA2,1.1.1.46,1
001088773,e1wkrA2,1.1.1.46,1
001088782,e2qp8A3,1.1.1.46,1
001694962,e4rldA2,1.1.1.46,1
001567460,e4zl4A1,1.1.1.46,1
002599550,e6rowE2,1.1.1.46,1
002723108,e6r5hA1,1.1.1.46,1
002863429,e7tbdB2,1.1.1.46,1
002771297,e6zz2A1,1.1.1.49,1
002798737,e7n4nA1,1.1.1.49,1
000000038,e2pnwA1,1.1.2.1,1
000000039,e2ae0X1,1.1.2.1,1
000000040,e2g5dA1,1.1.2.1,1
001153497,e3czbA6,1.1.2.1,1
002794557,e7esjA2,1.1.2.1,1
000000018,e1ppyA1,1.1.2.2,1
000000019,e1uhe.1,1.1.2.2,1
001547075,e4cryA1,1.1.2.2,1
000000037,e1bw3A1,1.1.2.3,1
000000029,e1qcsA1,1.1.2.4,1
000000030,e1cr5A1,1.1.2.4,1
000000031,e1cz5A1,1.1.2.4,1
000000032,e1e32A1,1.1.2.4,1
001504903,e4ga5B4,1.1.2.4,1
001883479,e5e7pA5,1.1.2.4,1
002790583,e7dvcA1,1.1.2.4,1
002898751,e7z11C3,1.1.2.4,1
