xfold,architecture,fold_desc
314,a+b three layers,Class II aaRS and biotin synthetases
816,a+b complex topology,Conserved core of transcriptional regulatory protein vp16
896,a+b two layers,SRP9/14-like
101,alpha arrays,HTH
2007,a/b three-layered sandwiches,Flavodoxin-like
206,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp
105,alpha duplicates or obligate multimers,HLH-like
2002,a/b barrels,TIM beta/alpha-barrel
2,beta barrels,OB-fold
186,alpha arrays,lambda integrase-N-like
5084,beta barrels,Outer membrane meander beta-barrels
5,beta duplicates or obligate multimers,beta-propeller-like
109,alpha superhelices,Repetitive alpha hairpins
386,few secondary structure elements,beta-beta-alpha zinc fingers
5101,alpha arrays,C-terminal helical domain of RNA helicase
2004,a/b three-layered sandwiches,P-loop domains-like
58,beta barrels,Oncogene product-like
11,beta sandwiches,Immunoglobulin-like beta-sandwich
616,alpha arrays,S15/NS1 RNA-binding domain
10,beta sandwiches,jelly-roll
311,a+b three layers,Phoshotransferase/anion transport protein
7573,a/b three-layered sandwiches,PRTase-like
7518,a/b three-layered sandwiches,PK C-terminal domain-like
2003,a/b three-layered sandwiches,Rossmann-like
932,few secondary structure elements,Zn-binding domain in DNA polymerase III subunits
138,alpha arrays,"DNA polymerase III clamp loader subunits, C-terminal domain"
148,alpha arrays,Histone-like
279,a+b complex topology,LDH C-terminal domain-like
130,alpha arrays,LEM/SAP HeH motif-like
396,few secondary structure elements,CCHC-type 1 zinc finger
212,a+b two layers,Ribosomal protein S5 domain 2-like
106,alpha arrays,Globin-like
210,a+b four layers,Ntn/PP2C
612,alpha arrays,Retroviral matrix proteins
378,few secondary structure elements,His-Me finger endonucleases
102,alpha arrays,HhH/H2TH
242,a+b two layers,Homing endonucleases-like
2008,a/b three-layered sandwiches,Restriction endonuclease-like
1,beta barrels,cradle loop barrel
5000,alpha arrays,Toxins' membrane translocation domains
5105,a+b two layers,N-terminal domain of colicin N
6,beta duplicates or obligate multimers,beta-Trefoil
2485,a+b three layers,Thioredoxin-like
170,alpha bundles,Retrovirus capsid protein
7514,a/b three-layered sandwiches,"Ferredoxin reductase-like, C-terminal NADP-linked domain"
7579,a/b three-layered sandwiches,alpha/beta-Hydrolases
230,a+b two layers,T-fold
3156,beta sandwiches,Cupredoxin-like
7523,a/b three-layered sandwiches,Periplasmic binding protein-like II
207,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix
7543,a/b three-layered sandwiches,Methylglyoxal synthase-like
