domain_id,hierarchy
1oaiA00,1.10.8.10.1.1.1
3b89A01,1.10.8.10.2.1.1
4heoA00,1.10.8.10.4.1.1
1oksA00,1.10.8.10.5.1.1
4wp2A00,1.10.8.10.6.1.1
1aipH03,1.10.8.10.7.2.1
2ltuA00,1.10.8.10.8.1.2
1zv1A00,1.10.8.10.9.1.1
2qhoD00,1.10.8.10.10.1.1
1vegA01,1.10.8.10.11.2.1
1cukA03,1.10.8.10.12.1.1
2jujA00,1.10.8.10.14.2.2
1mn3A00,1.10.8.10.15.1.2
3lcvB01,1.10.8.10.16.1.1
3bbzA00,1.10.8.10.17.1.1
3e46A02,1.10.8.10.19.1.1
3e21A00,1.10.8.10.20.1.1
2hakH03,1.10.8.10.22.3.1
1dv0A00,1.10.8.10.23.2.1
1xb2B01,1.10.8.10.24.1.1
3t6pA02,1.10.8.10.25.1.1
2lbcA02,1.10.8.10.26.2.1
3ihpB05,1.10.8.10.28.1.1
1a5tA02,1.10.8.10.29.1.1
3h4jA03,1.10.8.10.30.1.1
2hwjA02,1.10.8.10.31.1.1
2lbcA01,1.10.8.10.32.1.2
1tr8A02,1.10.8.10.35.1.1
4dbgB02,1.10.8.10.36.1.1
1nv8B01,1.10.8.10.39.1.1
1im2A02,1.10.8.10.40.1.1
4gewA01,1.10.8.10.42.1.1
1e94E02,1.10.8.10.43.1.1
2b3tA01,1.10.8.10.45.1.1
1g3iW02,1.10.8.10.46.1.1
1q02A00,1.10.8.10.47.1.1
2ejsA00,1.10.8.10.49.1.1
2mgwA00,1.10.8.10.50.1.1
1r4gA00,1.10.8.10.51.1.1
2knaA01,1.10.8.10.52.1.1
1qzeA02,1.10.8.10.53.1.1
1otrA00,1.10.8.10.54.1.1
1tteA02,1.10.8.10.55.1.1
2jp7A00,1.10.8.10.56.1.1
2l4eA00,1.10.8.10.57.1.1
1ufzA01,1.10.8.10.60.1.1
1v92A00,1.10.8.10.61.1.1
2di0A01,1.10.8.10.62.1.1
2ekfA01,1.10.8.10.63.1.1
2dhyA00,1.10.8.10.64.2.1
1wj7A01,1.10.8.10.65.1.1
2lvaA01,1.10.8.10.66.1.1
2mr9A00,1.10.8.10.67.1.1
2g3qA00,1.10.8.10.68.1.1
1wgnA00,1.10.8.10.69.1.1
1wivA00,1.10.8.10.69.2.1
2dzlA00,1.10.8.10.70.1.1
2damA00,1.10.8.10.71.1.1
1vdlA00,1.10.8.10.71.2.1
2dnaA00,1.10.8.10.72.1.1
1vg5A00,1.10.8.10.72.2.1
2l2dA00,1.10.8.10.73.1.1
2daeA00,1.10.8.10.74.1.1
1bvsF03,1.10.8.10.75.1.1
2daiA00,1.10.8.10.76.1.1
1oizA01,1.10.8.20.1.1.1
3hx3A01,1.10.8.20.2.1.1
3q8gA01,1.10.8.20.3.1.1
7y11B01,1.10.8.20.5.1.1
1gjsA00,1.10.8.40.2.1.2
6bekD00,1.10.8.50.1.1.1
1mu5A02,1.10.8.50.2.1.1
8d8lM01,1.10.8.50.4.1.1
1k3xA02,1.10.8.50.5.1.1
1k82A02,1.10.8.50.6.2.1
1tdzA02,1.10.8.50.6.3.1
7zhgO01,1.10.8.50.7.1.1
2vqeM01,1.10.8.50.8.1.1
3doaA02,1.10.8.50.9.1.1
4nrvA02,1.10.8.50.10.1.1
3jamS01,1.10.8.50.11.1.1
