hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
314.1.1.7,a+b three layers,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,AsnA
816.1.1.1,a+b complex topology,Conserved core of transcriptional regulatory protein vp16,Conserved core of transcriptional regulatory protein vp16,Conserved core of transcriptional regulatory protein vp16,Alpha_TIF
896.1.1.3,a+b two layers,SRP9/14-like,Signal recognition particle alu RNA binding heterodimer SRP9/14-related,Signal recognition particle alu RNA binding heterodimer SRP9/14-related,SRP9-21
896.1.1.2,a+b two layers,SRP9/14-like,Signal recognition particle alu RNA binding heterodimer SRP9/14-related,Signal recognition particle alu RNA binding heterodimer SRP9/14-related,SRP14
101.1.3.1,alpha arrays,HTH,HTH,"tetra-helical, LuxR-like",GerE
2007.1.3.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,CheY-like,Response_reg
206.1.1.1,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase,Pkinase
105.1.1.1,alpha duplicates or obligate multimers,HLH-like,"HLH, helix-loop-helix DNA-binding domain","HLH, helix-loop-helix DNA-binding domain",HLH
2002.1.1.60,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,AP_endonuc_2
2.1.1.91,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,DNA_ligase_C
206.1.3.1,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,ATP-grasp,DNA_ligase_A_M
101.1.8.1,alpha arrays,HTH,HTH,DNA breaking-rejoining enzymes,Phage_integrase
186.1.1.1,alpha arrays,lambda integrase-N-like,lambda integrase-N,lambda integrase-N,Phage_int_SAM_1
5084.5.2.1,beta barrels,Outer membrane meander beta-barrels,Porins,Maltoporin-like,LamB
5.1.4.7,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,7-bladed,RCC1
109.4.1.6,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,"TPR_1,PPP5"
386.1.1.1,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,zf-C2H2
5101.1.1.2,alpha arrays,C-terminal helical domain of RNA helicase,C-terminal helical domain of RNA helicase,C-terminal helical domain of RNA helicase,NS3_helicase_C
2004.1.1.151,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,Flavi_DEAD
2004.1.1.0,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,NO_F_NAME
58.1.1.1,beta barrels,Oncogene product-like,Oncogene products,Oncogene products,TCL1_MTCP1
11.2.1.1,beta sandwiches,Immunoglobulin-like beta-sandwich,C2 domain,C2 domain,C2
616.1.1.1,alpha arrays,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,S15/NS1 RNA-binding domain,Ribosomal_S15
10.2.1.0,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),NO_F_NAME
311.1.1.1,a+b three layers,Phoshotransferase/anion transport protein,Phoshotransferase/anion transport protein,Phoshotransferase/anion transport protein,PTS_EIIA_2
7573.1.1.1,a/b three-layered sandwiches,PRTase-like,PRTase-like,PRTase-like,Pribosyltran
11.1.5.3,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,RHD_DNA_bind
7518.1.1.1,a/b three-layered sandwiches,PK C-terminal domain-like,PK C-terminal domain-like,PK C-terminal domain-like,PK_C
101.1.8.2,alpha arrays,HTH,HTH,DNA breaking-rejoining enzymes,Topoisom_I
101.1.8.0,alpha arrays,HTH,HTH,DNA breaking-rejoining enzymes,NO_F_NAME
11.1.7.1,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,PEBP-like,PBP
2003.1.1.38,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,THF_DHG_CYH_C
2007.1.6.2,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,"Aminoacid dehydrogenase-like, N-terminal domain",THF_DHG_CYH
2002.1.1.41,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,A_deaminase
2002.1.1.10,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,IGPS
932.1.1.0,few secondary structure elements,Zn-binding domain in DNA polymerase III subunits,Zn-binding domain in DNA polymerase III subunits,Zn-binding domain in DNA polymerase III subunits,NO_F_NAME
138.1.1.3,alpha arrays,"DNA polymerase III clamp loader subunits, C-terminal domain","DNA polymerase III clamp loader subunits, C-terminal domain","DNA polymerase III clamp loader subunits, C-terminal domain",DNApol3-delta_C
148.1.3.39,alpha arrays,Histone-like,Histone-related,AAA+ ATPase lid domain,HolB_lid
2004.1.1.187,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,DNA_pol3_delta2
279.1.1.1,a+b complex topology,LDH C-terminal domain-like,LDH C-terminal domain-like,LDH C-terminal domain-like,Ldh_1_C
2.1.1.35,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,Rho_RNA_bind
130.1.1.3,alpha arrays,LEM/SAP HeH motif-like,LEM/SAP HeH motif,LEM/SAP HeH motif,Rho_N
396.1.1.1,few secondary structure elements,CCHC-type 1 zinc finger,Retrovirus zinc finger-related domains,Retrovirus zinc finger-related domains,zf-CCHC
10.2.1.38,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Nepo_coat_N
10.2.1.34,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Nepo_coat
10.2.1.37,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Nepo_coat_C
212.1.1.8,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribonuclease_P
106.1.1.1,alpha arrays,Globin-like,Globin-like,Globin-like,Globin
101.6.1.1,alpha arrays,HTH,Protein serine/threonine phosphatase 2C-C,Protein serine/threonine phosphatase 2C-C,PP2C_C
210.2.1.1,a+b four layers,Ntn/PP2C,"Protein serine/threonine phosphatase 2C, catalytic domain","Protein serine/threonine phosphatase 2C, catalytic domain",PP2C
612.1.1.5,alpha arrays,Retroviral matrix proteins,Retroviral matrix proteins,Retroviral matrix proteins,Retro_M
11.1.1.99,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,V-set
378.1.1.6,few secondary structure elements,His-Me finger endonucleases,His-Me finger endonucleases,His-Me finger endonucleases,zf-His_Me_endon
102.1.1.0,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,SAM domain-like,NO_F_NAME
242.2.1.2,a+b two layers,Homing endonucleases-like,tRNA-intron endonuclease N-terminal domain-like,tRNA-intron endonuclease N-terminal domain-like,tRNA_int_endo_N
2008.2.1.1,a/b three-layered sandwiches,Restriction endonuclease-like,tRNA-intron endonuclease catalytic domain-like,tRNA-intron endonuclease catalytic domain-like,tRNA_int_endo
2004.1.1.44,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,PRK
1.1.17.1,beta barrels,cradle loop barrel,RIFT-related,FMN-binding split barrel 2,Trypsin
