domain_id,hierarchy
4wp2B00,1.10.8.10.5
4wp2D00,1.10.8.10.5
4wp2H00,1.10.8.10.5
4wp2A00,1.10.8.10.5
4wp2C00,1.10.8.10.5
4wp2E00,1.10.8.10.5
4wp2G00,1.10.8.10.5
3ihpA05,1.10.8.10.25
2dakA00,1.10.8.10.25
2lbcA02,1.10.8.10.25
1q02A00,1.10.8.10.46
2rruA00,1.10.8.10.46
1wglA00,1.10.8.10.63
2dhyA00,1.10.8.10.63
1wgnA00,1.10.8.10.68
1wivA00,1.10.8.10.68
2damA00,1.10.8.10.70
1vdlA00,1.10.8.10.70
2dnaA00,1.10.8.10.71
1vg5A00,1.10.8.10.71
1vejA00,1.10.8.10.71
2daiA00,1.10.8.10.74
2dklA00,1.10.8.10.74
2j5yA00,1.10.8.40.1
2kdlA00,1.10.8.40.1
2lhcA00,1.10.8.40.1
2lhgA00,1.10.8.40.1
2mh8A00,1.10.8.40.1
1in4A03,1.10.8.60.4
1j7kA03,1.10.8.60.4
3pfiA02,1.10.8.60.4
1jb0F00,1.10.8.110.1
5l8rF00,1.10.8.110.1
4y28F00,1.10.8.110.1
2wscF00,1.10.8.110.1
4kt0F00,1.10.8.110.2
4l6v600,1.10.8.110.2
2ahmA00,1.10.8.370.1
1ysyA00,1.10.8.370.1
4co8A00,1.10.10.10.2
5iluA00,1.10.10.10.2
4uuvJ00,1.10.10.10.2
5ilsA00,1.10.10.10.2
5ilvA00,1.10.10.10.2
4avpA00,1.10.10.10.2
4irgA00,1.10.10.10.2
3zp5A00,1.10.10.10.2
4irhA00,1.10.10.10.2
5e8gA00,1.10.10.10.2
1fliA00,1.10.10.10.2
1bc8C00,1.10.10.10.2
1k78B00,1.10.10.10.2
1awcA00,1.10.10.10.2
4uhtA00,1.10.10.10.10
3q9vA00,1.10.10.10.10
3q9sA02,1.10.10.10.10
5kvrA00,1.10.10.10.22
4u0yA00,1.10.10.10.22
4h0eA00,1.10.10.10.22
1ldkB03,1.10.10.10.43
4p5oA03,1.10.10.10.43
1iuyA00,1.10.10.10.43
2a07J00,1.10.10.10.72
3qrfF00,1.10.10.10.72
2kiuA00,1.10.10.10.72
2uzkC01,1.10.10.10.85
2k86A00,1.10.10.10.85
2mbfA01,1.10.10.10.85
3g73A00,1.10.10.10.111
2c6yB00,1.10.10.10.111
2a3sA00,1.10.10.10.111
1vtnC00,1.10.10.10.111
2hfhA00,1.10.10.10.111
2hdcA00,1.10.10.10.111
1d5vA00,1.10.10.10.111
1xsvA00,1.10.10.10.116
1xsvB00,1.10.10.10.116
1s7oB00,1.10.10.10.116
3h92A00,1.10.10.10.128
3bjoA00,1.10.10.10.128
2o0yC01,1.10.10.10.184
2o0yD01,1.10.10.10.184
1ku3A00,1.10.10.10.238
3n97A00,1.10.10.10.238
4llgL04,1.10.10.10.238
1ttyA00,1.10.10.10.238
1k78A01,1.10.10.10.294
1pdnC01,1.10.10.10.294
6paxA01,1.10.10.10.294
2k27A01,1.10.10.10.294
2mlkA00,1.10.10.10.302
2nazA00,1.10.10.10.302
2pfbB00,1.10.10.10.314
4hblC00,1.10.10.10.314
4hblD00,1.10.10.10.314
4hblB00,1.10.10.10.314
1z91A00,1.10.10.10.314
3i71B00,1.10.10.10.324
2jt1A00,1.10.10.10.324
4awxB00,1.10.10.10.327
2k02A00,1.10.10.10.327
1xn7A00,1.10.10.10.327
4l9tB00,1.10.10.10.330
5fb2A00,1.10.10.10.330
5f6fA00,1.10.10.10.330
3ecoB00,1.10.10.10.330
4l9vA00,1.10.10.10.330
4l9jB00,1.10.10.10.330
4l9jA00,1.10.10.10.330
2fnpA00,1.10.10.10.346
1fznD00,1.10.10.10.346
2p7vB00,1.10.10.10.349
1tlhB01,1.10.10.10.349
1md0A00,1.10.10.10.364
1r36A00,1.10.10.10.364
4bqaA00,1.10.10.10.364
1ussA00,1.10.10.10.466
1yqaA00,1.10.10.10.466
1ustA00,1.10.10.10.466
2l02A00,1.10.10.10.478
2l01A00,1.10.10.10.478
1gvdA00,1.10.10.60.10
1gv2A01,1.10.10.60.10
1mseC01,1.10.10.60.10
1mbgA00,1.10.10.60.10
1h8aC01,1.10.10.60.10
1a5jA01,1.10.10.60.10
3zqcA01,1.10.10.60.10
2k9nA01,1.10.10.60.10
2m0cA00,1.10.10.60.12
2k40A00,1.10.10.60.12
2l7fP00,1.10.10.60.12
2l7mP00,1.10.10.60.12
